TEMP;TOTAL HMX
K;kJ/mol
500;-127,812537
499,9;-127,8345596
499,8;-127,856624
499,7;-127,8786466
499,6;-127,900711
499,5;-127,9227336
499,4;-127,944798
499,3;-127,9668624
499,2;-127,9889269
499,1;-128,0109913
499;-128,0330558
498,9;-128,0551621
498,8;-128,0772265
498,7;-128,0993328
498,6;-128,1214391
498,5;-128,1435035
498,4;-128,1656098
498,3;-128,187758
498,2;-128,2098643
498,1;-128,2319706
498;-128,2541188
497,9;-128,276267
497,8;-128,2983733
497,7;-128,3205214
497,6;-128,3426696
497,5;-128,3648597
497,4;-128,3870078
497,3;-128,4091979
497,2;-128,431346
497,1;-128,4535361
497;-128,4757261
496,9;-128,4979162
496,8;-128,5201062
496,7;-128,5423381
496,6;-128,5645281
496,5;-128,5867601
496,4;-128,6089501
496,3;-128,631182
496,2;-128,6534558
496,1;-128,6756877
496;-128,6979196
495,9;-128,7201934
495,8;-128,7424671
495,7;-128,7646991
495,6;-128,7869728
495,5;-128,8092885
495,4;-128,8315623
495,3;-128,853836
495,2;-128,8761517
495,1;-128,8984673
495;-128,920783
494,9;-128,9430986
494,8;-128,9654142
494,7;-128,9877718
494,6;-129,0101293
494,5;-129,0324449
494,4;-129,0548024
494,3;-129,0772018
494,2;-129,0995593
494,1;-129,1219168
494;-129,1443162
493,9;-129,1667156
493,8;-129,189115
493,7;-129,2115144
493,6;-129,2339556
493,5;-129,256355
493,4;-129,2787962
493,3;-129,3012375
493,2;-129,3236787
493,1;-129,34612
493;-129,3686031
492,9;-129,3910862
492,8;-129,4135693
492,7;-129,4360524
492,6;-129,4585356
492,5;-129,4810187
492,4;-129,5035437
492,3;-129,5260686
492,2;-129,5485936
492,1;-129,5711186
492;-129,5936855
491,9;-129,6162104
491,8;-129,6387773
491,7;-129,6613441
491,6;-129,6839529
491,5;-129,7065197
491,4;-129,7291284
491,3;-129,7517372
491,2;-129,7743459
491,1;-129,7969546
491;-129,8196052
490,9;-129,8422139
490,8;-129,8648645
490,7;-129,8875569
490,6;-129,9102075
490,5;-129,9329
490,4;-129,9555924
490,3;-129,9782849
490,2;-130,0009774
490,1;-130,0237117
490;-130,0464041
489,9;-130,0691385
489,8;-130,0919147
489,7;-130,114649
489,6;-130,1374252
489,5;-130,1602014
489,4;-130,1829776
489,3;-130,2057956
489,2;-130,2285718
489,1;-130,2513899
489;-130,2742079
488,9;-130,2970679
488,8;-130,3199278
488,7;-130,3427877
488,6;-130,3656476
488,5;-130,3885076
488,4;-130,4114094
488,3;-130,4343112
488,2;-130,457213
488,1;-130,4801566
488;-130,5031003
487,9;-130,5260439
487,8;-130,5489876
487,7;-130,5719731
487,6;-130,5949587
487,5;-130,6179442
487,4;-130,6409297
487,3;-130,6639571
487,2;-130,6869845
487,1;-130,7100538
487;-130,7330812
486,9;-130,7561505
486,8;-130,7792197
486,7;-130,8023309
486,6;-130,825442
486,5;-130,8485532
486,4;-130,8716643
486,3;-130,8948173
486,2;-130,9179703
486,1;-130,9411233
486;-130,9643182
485,9;-130,987513
485,8;-131,0107079
485,7;-131,0339447
485,6;-131,0571814
485,5;-131,0804181
485,4;-131,1036967
485,3;-131,1269754
485,2;-131,150254
485,1;-131,1735326
485;-131,196853
484,9;-131,2202154
484,8;-131,2435359
484,7;-131,2668982
484,6;-131,2903024
484,5;-131,3136648
484,4;-131,337069
484,3;-131,3605151
484,2;-131,3839611
484,1;-131,4074072
484;-131,4308533
483,9;-131,4543412
483,8;-131,4778292
483,7;-131,501359
483,6;-131,5248888
483,5;-131,5484605
483,4;-131,5719903
483,3;-131,595562
483,2;-131,6191756
483,1;-131,6427891
483;-131,6664027
482,9;-131,6900581
482,8;-131,7137135
482,7;-131,7374108
482,6;-131,7611081
482,5;-131,7848472
482,4;-131,8085445
482,3;-131,8323255
482,2;-131,8561066
482,1;-131,8798876
482;-131,9036686
481,9;-131,9274915
481,8;-131,9513563
481,7;-131,975221
481,6;-131,9990858
481,5;-132,0229924
481,4;-132,0469409
481,3;-132,0708475
481,2;-132,0948379
481,1;-132,1187864
481;-132,1428186
480,9;-132,166809
480,8;-132,1908831
480,7;-132,2149153
480,6;-132,2389894
480,5;-132,2631054
480,4;-132,2872214
480,3;-132,3113792
480,2;-132,335537
480,1;-132,3597367
480;-132,3839783
479,9;-132,408178
479,8;-132,4324615
479,7;-132,4567449
479,6;-132,4810283
479,5;-132,5053536
479,4;-132,5297208
479,3;-132,554088
479,2;-132,578497
479,1;-132,6029061
479;-132,627357
478,9;-132,6518079
478,8;-132,6763007
478,7;-132,7008353
478,6;-132,72537
478,5;-132,7499465
478,4;-132,7745649
478,3;-132,7991833
478,2;-132,8238435
478,1;-132,8485038
478;-132,8732059
477,9;-132,8979499
477,8;-132,9226939
477,7;-132,9474797
477,6;-132,9723075
477,5;-132,9971352
477,4;-133,0220048
477,3;-133,0469162
477,2;-133,0718277
477,1;-133,0968229
477;-133,1218181
476,9;-133,1468133
476,8;-133,1718503
476,7;-133,1969711
476,6;-133,2220501
476,5;-133,2472127
476,4;-133,2723754
476,3;-133,2975799
476,2;-133,3228263
476,1;-133,3481146
476;-133,3734448
475,9;-133,3987749
475,8;-133,4241469
475,7;-133,4495608
475,6;-133,4750165
475,5;-133,5004723
475,4;-133,5260118
475,3;-133,5515512
475,2;-133,5771744
475,1;-133,6027977
475;-133,6284627
474,9;-133,6541697
474,8;-133,6799185
474,7;-133,7057092
474,6;-133,7314999
474,5;-133,7573743
474,4;-133,7832906
474,3;-133,8092488
474,2;-133,8352069
474,1;-133,8612488
474;-133,8873326
473,9;-133,9134164
473,8;-133,9395839
473,7;-133,9657932
473,6;-133,9920445
473,5;-134,0183376
473,4;-134,0446725
473,3;-134,0710494
473,2;-134,09751
473,1;-134,1239705
473;-134,1505148
472,9;-134,177101
472,8;-134,2037291
472,7;-134,230399
472,6;-134,2571526
472,5;-134,2839482
472,4;-134,3107855
472,3;-134,3376648
472,2;-134,3646278
472,1;-134,3916327
472;-134,4186794
471,9;-134,4458098
471,8;-134,4729822
471,7;-134,5001964
471,6;-134,5274943
471,5;-134,5548341
471,4;-134,5822577
471,3;-134,6097231
471,2;-134,6372722
471,1;-134,6649051
471;-134,692538
470,9;-134,7202965
470,8;-134,7480968
470,7;-134,7759809
470,6;-134,8039068
470,5;-134,8319165
470,4;-134,86001
470,3;-134,8881871
470,2;-134,9164062
470,1;-134,9447089
470;-134,9731373
469,9;-135,0015657
469,8;-135,0301197
469,7;-135,0587574
469,6;-135,0874788
469,5;-135,116284
469,4;-135,1451729
469,3;-135,1741037
469,2;-135,2031601
469,1;-135,2323421
469;-135,261566
468,9;-135,2909154
468,8;-135,3203486
468,7;-135,3498656
468,6;-135,3795081
468,5;-135,4092344
468,4;-135,4390863
468,3;-135,4690219
