TEMP;TOTAL HMX
K;kJ/mol
500;-104,3817388
499,9;-104,3985698
499,8;-104,4154426
499,7;-104,4323154
499,6;-104,4491463
499,5;-104,4660191
499,4;-104,4828919
499,3;-104,4997228
499,2;-104,5165956
499,1;-104,5334685
499;-104,5502994
498,9;-104,5671722
498,8;-104,584045
498,7;-104,6008759
498,6;-104,6177487
498,5;-104,6346215
498,4;-104,6514525
498,3;-104,6683253
498,2;-104,6851981
498,1;-104,702029
498;-104,7189018
497,9;-104,7357746
497,8;-104,7526056
497,7;-104,7694784
497,6;-104,7863512
497,5;-104,803224
497,4;-104,8200549
497,3;-104,8369277
497,2;-104,8538005
497,1;-104,8706733
497;-104,8875043
496,9;-104,9043771
496,8;-104,9212499
496,7;-104,9381227
496,6;-104,9549536
496,5;-104,9718264
496,4;-104,9886992
496,3;-105,005572
496,2;-105,0224448
496,1;-105,0392758
496;-105,0561486
495,9;-105,0730214
495,8;-105,0898942
495,7;-105,106767
495,6;-105,1236398
495,5;-105,1405126
495,4;-105,1573854
495,3;-105,1742163
495,2;-105,1910891
495,1;-105,2079619
495;-105,2248347
494,9;-105,2417075
494,8;-105,2585803
494,7;-105,2754531
494,6;-105,292326
494,5;-105,3091988
494,4;-105,3260716
494,3;-105,3429444
494,2;-105,3598172
494,1;-105,37669
494;-105,3935628
493,9;-105,4104356
493,8;-105,4273084
493,7;-105,4441812
493,6;-105,461054
493,5;-105,4779268
493,4;-105,4948415
493,3;-105,5117143
493,2;-105,5285871
493,1;-105,5454599
493;-105,5623327
492,9;-105,5792055
492,8;-105,5960783
492,7;-105,612993
492,6;-105,6298658
492,5;-105,6467386
492,4;-105,6636114
492,3;-105,680526
492,2;-105,6973989
492,1;-105,7142717
492;-105,7311445
491,9;-105,7480591
491,8;-105,7649319
491,7;-105,7818047
491,6;-105,7987194
491,5;-105,8155922
491,4;-105,8325069
491,3;-105,8493797
491,2;-105,8662525
491,1;-105,8831672
491;-105,90004
490,9;-105,9169546
490,8;-105,9338274
490,7;-105,9507421
490,6;-105,9676149
490,5;-105,9845296
490,4;-106,0014024
490,3;-106,0183171
490,2;-106,0351899
490,1;-106,0521045
490;-106,0690192
489,9;-106,085892
489,8;-106,1028067
489,7;-106,1197214
489,6;-106,1365942
489,5;-106,1535088
489,4;-106,1704235
489,3;-106,1873382
489,2;-106,204211
489,1;-106,2211257
489;-106,2380403
488,9;-106,254955
488,8;-106,2718697
488,7;-106,2887844
488,6;-106,305699
488,5;-106,3225718
488,4;-106,3394865
488,3;-106,3564012
488,2;-106,3733158
488,1;-106,3902305
488;-106,4071452
487,9;-106,4240599
487,8;-106,4410164
487,7;-106,4579311
487,6;-106,4748457
487,5;-106,4917604
487,4;-106,5086751
487,3;-106,5255898
487,2;-106,5425463
487,1;-106,559461
487;-106,5763756
486,9;-106,5932903
486,8;-106,6102469
486,7;-106,6271615
486,6;-106,6440762
486,5;-106,6610327
486,4;-106,6779474
486,3;-106,694904
486,2;-106,7118186
486,1;-106,7287752
486;-106,7456898
485,9;-106,7626464
485,8;-106,779561
485,7;-106,7965176
485,6;-106,8134323
485,5;-106,8303888
485,4;-106,8473453
485,3;-106,8643019
485,2;-106,8812166
485,1;-106,8981731
485;-106,9151296
484,9;-106,9320862
484,8;-106,9490427
484,7;-106,9659574
484,6;-106,9829139
484,5;-106,9998705
484,4;-107,016827
484,3;-107,0337835
484,2;-107,0507401
484,1;-107,0676966
484;-107,084695
483,9;-107,1016516
483,8;-107,1186081
483,7;-107,1355647
483,6;-107,1525212
483,5;-107,1695196
483,4;-107,1864761
483,3;-107,2034327
483,2;-107,2204311
483,1;-107,2373876
483;-107,2543442
482,9;-107,2713426
482,8;-107,2882991
482,7;-107,3052975
482,6;-107,3222959
482,5;-107,3392525
482,4;-107,3562509
482,3;-107,3732074
482,2;-107,3902058
482,1;-107,4072042
482;-107,4242026
481,9;-107,4412011
481,8;-107,4581576
481,7;-107,475156
481,6;-107,4921544
481,5;-107,5091528
481,4;-107,5261512
481,3;-107,5431496
481,2;-107,560148
481,1;-107,5771883
481;-107,5941867
480,9;-107,6111851
480,8;-107,6281835
480,7;-107,6452238
480,6;-107,6622222
480,5;-107,6792206
480,4;-107,6962609
480,3;-107,7132593
480,2;-107,7302996
480,1;-107,747298
480;-107,7643383
479,9;-107,7813367
479,8;-107,798377
479,7;-107,8154172
479,6;-107,8324156
479,5;-107,8494559
479,4;-107,8664962
479,3;-107,8835365
479,2;-107,9005767
479,1;-107,917617
479;-107,9346573
478,9;-107,9516976
478,8;-107,9687379
478,7;-107,9857781
478,6;-108,0028603
478,5;-108,0199005
478,4;-108,0369408
478,3;-108,0539811
478,2;-108,0710632
478,1;-108,0881035
478;-108,1051857
477,9;-108,1222259
477,8;-108,1393081
477,7;-108,1563902
477,6;-108,1734305
477,5;-108,1905126
477,4;-108,2075948
477,3;-108,2246769
477,2;-108,2417591
477,1;-108,2588412
477;-108,2759234
476,9;-108,2930055
476,8;-108,3100877
476,7;-108,3271698
476,6;-108,3442519
476,5;-108,3613341
476,4;-108,3784581
476,3;-108,3955402
476,2;-108,4126643
476,1;-108,4297464
476;-108,4468704
475,9;-108,4639526
475,8;-108,4810766
475,7;-108,4982006
475,6;-108,5152827
475,5;-108,5324067
475,4;-108,5495307
475,3;-108,5666548
475,2;-108,5837788
475,1;-108,6009028
475;-108,6180268
474,9;-108,6351927
474,8;-108,6523167
474,7;-108,6694407
474,6;-108,6866066
474,5;-108,7037306
474,4;-108,7208965
474,3;-108,7380205
474,2;-108,7551864
474,1;-108,7723104
474;-108,7894763
473,9;-108,8066421
473,8;-108,823808
473,7;-108,8409739
473,6;-108,8581398
473,5;-108,8753057
473,4;-108,8924715
473,3;-108,9096374
473,2;-108,9268452
473,1;-108,944011
473;-108,9611769
472,9;-108,9783847
472,8;-108,9955506
472,7;-109,0127583
472,6;-109,029966
472,5;-109,0471738
472,4;-109,0643397
472,3;-109,0815474
472,2;-109,0987552
472,1;-109,1159629
472;-109,1331707
471,9;-109,1504203
471,8;-109,167628
471,7;-109,1848358
471,6;-109,2020854
471,5;-109,2192931
471,4;-109,2365428
471,3;-109,2537924
471,2;-109,2710001
471,1;-109,2882497
471;-109,3054994
470,9;-109,322749
470,8;-109,3399986
470,7;-109,3572482
470,6;-109,3744978
470,5;-109,3917893
470,4;-109,4090389
470,3;-109,4262885
470,2;-109,44358
470,1;-109,4608715
470;-109,4781211
469,9;-109,4954126
469,8;-109,5127041
469,7;-109,5299956
469,6;-109,5472871
469,5;-109,5645785
469,4;-109,58187
469,3;-109,5992034
469,2;-109,6164949
469,1;-109,6337863
469;-109,6511197
468,9;-109,668453
468,8;-109,6857445
468,7;-109,7030779
468,6;-109,7204112
468,5;-109,7377446
468,4;-109,7550779
468,3;-109,7724113
468,2;-109,7897865
468,1;-109,8071199
468;-109,8244951
467,9;-109,8418284
467,8;-109,8592037
467,7;-109,8765789
467,6;-109,8939541
467,5;-109,9113293
467,4;-109,9287045
467,3;-109,9460798
467,2;-109,963455
467,1;-109,9808302
467;-109,9982473
466,9;-110,0156225
466,8;-110,0330396
466,7;-110,0504567
466,6;-110,0678738
466,5;-110,0852909
466,4;-110,1027079
466,3;-110,120125
466,2;-110,1375421
466,1;-110,1550011
466;-110,1724182
465,9;-110,1898771
465,8;-110,2072942
465,7;-110,2247532
465,6;-110,2422121
465,5;-110,2596711
465,4;-110,27713
465,3;-110,2946309
465,2;-110,3120898
465,1;-110,3295906
465;-110,3470496
464,9;-110,3645504
464,8;-110,3820512
464,7;-110,3995521
464,6;-110,4170529
464,5;-110,4345537
464,4;-110,4520545
464,3;-110,4695972
464,2;-110,4871399
464,1;-110,5046407
464;-110,5221834
463,9;-110,5397261
463,8;-110,5572688
463,7;-110,5748115
463,6;-110,5923961
463,5;-110,6099388
463,4;-110,6275233
463,3;-110,645066
463,2;-110,6626506
463,1;-110,6802351
463;-110,6978197
462,9;-110,7154043
462,8;-110,7330307
462,7;-110,7506152
462,6;-110,7682417
462,5;-110,7858262
462,4;-110,8034527
462,3;-110,8210791
462,2;-110,8387474
462,1;-110,8563738
462;-110,8740002
461,9;-110,8916685
461,8;-110,9093368
461,7;-110,9269633
461,6;-110,9446316
461,5;-110,9623417
461,4;-110,98001
461,3;-110,9976783
461,2;-111,0153885
461,1;-111,0330986
461;-111,0508088
460,9;-111,068519
460,8;-111,0862291
460,7;-111,1039393
460,6;-111,1216913
460,5;-111,1394015
460,4;-111,1571535
460,3;-111,1749056
460,2;-111,1926576
460,1;-111,2104096
460;-111,2282035
459,9;-111,2459556
459,8;-111,2637495
459,7;-111,2815434
459,6;-111,2993373
459,5;-111,317173
459,4;-111,3349669
459,3;-111,3528027
459,2;-111,3705966
459,1;-111,3884324
459;-111,4062681
458,9;-111,4241458
458,8;-111,4419815
458,7;-111,4598592
458,6;-111,4776949
458,5;-111,4955726
458,4;-111,5134921
458,3;-111,5313697
458,2;-111,5492473
458,1;-111,5671668
458;-111,5850864
457,9;-111,6030059
457,8;-111,6209254
457,7;-111,6388867
457,6;-111,6568062
457,5;-111,6747676
457,4;-111,692729
457,3;-111,7106904
457,2;-111,7286936
457,1;-111,746655
457;-111,7646582
456,9;-111,7826614
456,8;-111,8006647
456,7;-111,8186679
456,6;-111,836713
456,5;-111,8547581
456,4;-111,8728032
456,3;-111,8908484
456,2;-111,9088935
456,1;-111,9269804
456;-111,9450674
455,9;-111,9631544
455,8;-111,9812414
455,7;-111,9993283
455,6;-112,0174572
455,5;-112,035586
455,4;-112,0537149
455,3;-112,0718437
455,2;-112,0900144
455,1;-112,1081851
455;-112,1263559
454,9;-112,1445266
454,8;-112,1626973
454,7;-112,1809099
454,6;-112,1991224
454,5;-112,217335
454,4;-112,2355476
454,3;-112,253802
454,2;-112,2720565
454,1;-112,2903109
454;-112,3085654
453,9;-112,3268617
453,8;-112,345158
453,7;-112,3634543
453,6;-112,3817507
453,5;-112,4000888
453,4;-112,418427
453,3;-112,4367652
453,2;-112,4551034
453,1;-112,4734834
453;-112,4918635
452,9;-112,5102435
452,8;-112,5286236
452,7;-112,5470455
452,6;-112,5654674
452,5;-112,5838894
452,4;-112,6023531
452,3;-112,6207751
452,2;-112,6392389
452,1;-112,6577445
452;-112,6762083
451,9;-112,694714
451,8;-112,7132615
451,7;-112,7317671
451,6;-112,7503147
451,5;-112,7688622
451,4;-112,7874097
451,3;-112,8059991
451,2;-112,8245885
451,1;-112,8431779
451;-112,8618091
450,9;-112,8804404
450,8;-112,8990717
450,7;-112,9177029
450,6;-112,9363761
450,5;-112,9550492
450,4;-112,9737642
450,3;-112,9924792
450,2;-113,0111942
450,1;-113,0299092
450;-113,048666
449,9;-113,0674229
449,8;-113,0861798
449,7;-113,1049785
449,6;-113,1237772
449,5;-113,1426178
449,4;-113,1614584
449,3;-113,180299
449,2;-113,1991396
449,1;-113,2180221
449;-113,2369046
448,9;-113,2558289
448,8;-113,2747532
448,7;-113,2936776
448,6;-113,3126438
448,5;-113,33161
448,4;-113,350618
448,3;-113,3696261
448,2;-113,3886342
448,1;-113,4076423
448;-113,4266922
447,9;-113,445784
447,8;-113,4648758
447,7;-113,4839676
447,6;-113,5031013
447,5;-113,522235
447,4;-113,5413687
447,3;-113,5605442
447,2;-113,5797197
447,1;-113,5989372
447;-113,6181546
446,9;-113,6374138
446,8;-113,6566731
446,7;-113,6759324
446,6;-113,6952336
446,5;-113,7145347
446,4;-113,7338777
446,3;-113,7532207
446,2;-113,7726056
446,1;-113,7919905
446;-113,8114173
445,9;-113,830844
445,8;-113,8503126
445,7;-113,8697812
445,6;-113,8892499
445,5;-113,9087604
445,4;-113,9283127
445,3;-113,9478651
445,2;-113,9674174
445,1;-113,9870535
445;-114,0066477
444,9;-114,0262838
444,8;-114,0459618
444,7;-114,0656397
444,6;-114,0853596
444,5;-114,1050794
444,4;-114,1248411
444,3;-114,1446028
444,2;-114,1644064
444,1;-114,1842518
444;-114,2040972
443,9;-114,2239427
443,8;-114,24383
443,7;-114,2637591
443,6;-114,2837302
443,5;-114,3037012
443,4;-114,3236722
443,3;-114,3436851
443,2;-114,3637399
443,1;-114,3838365
443;-114,4039332
442,9;-114,4240298
442,8;-114,4442102
442,7;-114,4643906
442,6;-114,484571
442,5;-114,5048351
442,4;-114,5250992
442,3;-114,5453633
442,2;-114,5657111
442,1;-114,586059
442;-114,6064068
441,9;-114,6268384
441,8;-114,64727
441,7;-114,6677435
441,6;-114,6882588
