TEMP;TOTAL HMX
K;kJ/mol
390;-156,459753
390,1;-156,4390284
390,2;-156,4183037
390,3;-156,3975372
390,4;-156,3767707
390,5;-156,3560041
390,6;-156,3352376
390,7;-156,3144711
390,8;-156,2936627
390,9;-156,2728962
391;-156,2520878
391,1;-156,2312794
391,2;-156,210471
391,3;-156,1896626
391,4;-156,1688123
391,5;-156,1480039
391,6;-156,1271536
391,7;-156,1063034
391,8;-156,0854531
391,9;-156,0646029
392;-156,0437107
392,1;-156,0228605
392,2;-156,0019683
392,3;-155,9810762
392,4;-155,9601841
392,5;-155,9392919
392,6;-155,9183579
392,7;-155,8974658
392,8;-155,8765318
392,9;-155,8555978
393;-155,8346638
393,1;-155,8137298
393,2;-155,7927958
393,3;-155,7718199
393,4;-155,7508441
393,5;-155,7298682
393,6;-155,7088923
393,7;-155,6879165
393,8;-155,6669406
393,9;-155,6459229
394;-155,6249051
394,1;-155,6038874
394,2;-155,5828696
394,3;-155,5618519
394,4;-155,5407923
394,5;-155,5197746
394,6;-155,498715
394,7;-155,4776554
394,8;-155,4565958
394,9;-155,4355362
395;-155,4144347
395,1;-155,3933751
395,2;-155,3722736
395,3;-155,3511721
395,4;-155,3300707
395,5;-155,3089273
395,6;-155,2878258
395,7;-155,2666825
395,8;-155,2455392
395,9;-155,2243958
396;-155,2032525
396,1;-155,1821091
396,2;-155,1609239
396,3;-155,1397387
396,4;-155,1185954
396,5;-155,0973683
396,6;-155,0761831
396,7;-155,0549979
396,8;-155,0337708
396,9;-155,0125437
397;-154,9913167
397,1;-154,9700896
397,2;-154,9488625
397,3;-154,9276354
397,4;-154,9063665
397,5;-154,8850976
397,6;-154,8638286
397,7;-154,8425597
397,8;-154,8212907
397,9;-154,7999799
398;-154,7786691
398,1;-154,7573583
398,2;-154,7360475
398,3;-154,7147367
398,4;-154,6934259
398,5;-154,6720732
398,6;-154,6507205
398,7;-154,6293678
398,8;-154,6080151
398,9;-154,5866625
399;-154,5652679
399,1;-154,5439152
399,2;-154,5225207
399,3;-154,5011261
399,4;-154,4796897
399,5;-154,4582952
399,6;-154,4368587
399,7;-154,4154642
399,8;-154,3940278
399,9;-154,3725495
400;-154,3511131
400,1;-154,3296767
400,2;-154,3081984
400,3;-154,2867201
400,4;-154,2652418
400,5;-154,2437635
400,6;-154,2222434
400,7;-154,2007651
400,8;-154,1792449
400,9;-154,1577248
401;-154,1362046
401,1;-154,1146426
401,2;-154,0931225
401,3;-154,0715604
401,4;-154,0499984
401,5;-154,0284364
401,6;-154,0068325
401,7;-153,9852705
401,8;-153,9636666
401,9;-153,9420627
402;-153,9204588
402,1;-153,8988549
402,2;-153,8772511
402,3;-153,8556053
402,4;-153,8339595
402,5;-153,8123138
402,6;-153,790668
402,7;-153,7690223
402,8;-153,7473347
402,9;-153,725647
403;-153,7039594
403,1;-153,6822718
403,2;-153,6605842
403,3;-153,6388547
403,4;-153,617167
403,5;-153,5954376
403,6;-153,5737081
403,7;-153,5519367
403,8;-153,5302072
403,9;-153,5084358
404;-153,4866645
404,1;-153,4648931
404,2;-153,4431218
404,3;-153,4213085
404,4;-153,3995372
404,5;-153,377724
404,6;-153,3559107
404,7;-153,3340975
404,8;-153,3122424
404,9;-153,2903873
405;-153,2685741
405,1;-153,246719
405,2;-153,224822
405,3;-153,2029669
405,4;-153,18107
405,5;-153,159173
405,6;-153,137276
405,7;-153,1153791
405,8;-153,0934821
405,9;-153,0715433
406;-153,0496044
406,1;-153,0276656
406,2;-153,0057268
406,3;-152,9837461
406,4;-152,9618072
406,5;-152,9398265
406,6;-152,9178458
406,7;-152,8958651
406,8;-152,8738426
406,9;-152,8518619
407;-152,8298393
407,1;-152,8078167
407,2;-152,7857523
407,3;-152,7637297
407,4;-152,7416653
407,5;-152,7196009
407,6;-152,6975364
407,7;-152,675472
407,8;-152,6533657
407,9;-152,6313012
408;-152,6091949
408,1;-152,5870886
408,2;-152,5649405
408,3;-152,5428342
408,4;-152,520686
408,5;-152,4985378
408,6;-152,4763896
408,7;-152,4542415
408,8;-152,4320514
408,9;-152,4098614
409;-152,3876714
409,1;-152,3654813
409,2;-152,3432494
409,3;-152,3210594
409,4;-152,2988275
409,5;-152,2765956
409,6;-152,2543636
409,7;-152,2320899
409,8;-152,2098161
409,9;-152,1875842
410;-152,1652685
410,1;-152,1429948
410,2;-152,1206791
410,3;-152,0984053
410,4;-152,0760897
410,5;-152,0537322
410,6;-152,0314165
410,7;-152,009059
410,8;-151,9867015
410,9;-151,964344
411;-151,9419865
411,1;-151,919629
411,2;-151,8972296
411,3;-151,8748302
411,4;-151,8524308
411,5;-151,8299896
411,6;-151,8075902
411,7;-151,785149
411,8;-151,7627077
411,9;-151,7402246
412;-151,7177834
412,1;-151,6953002
412,2;-151,6728171
412,3;-151,650334
412,4;-151,6278509
